survival,weight,wing.length,tarsus.length,first.clutch.size,nestling.fate,second.clutch,carotenoid.chroma,bib.area,total.brightness
NA,11.1,49.5,18.3,4,Predated,No,0.847,239.602,24.02747346
NA,9.2,51,18.7,NA,NA,NA,0.744,178.838,19.96036561
NA,10.9,47.5,17.8,4,Fledged,No,0.9,115.495,17.12046279
yes,10.4,50,18.7,5,Predated,No,0.861,297.846,14.34618253
yes,10.8,51,20,5,Fledged,No,0.905,319.152,18.60457087
no,10.9,52,20,4,Predated,Yes,0.9,357.032,42.63951924
NA,11.5,49.5,18.8,4,Predated,No,0.914,312.045,29.62545998
no,10.5,49,19,4,Predated,No,0.931,369.144,27.06063403
no,10.1,50,18.9,4,Fledged,No,0.878,243.181,23.61458664
NA,10.9,50,19.8,4,Fledged,No,0.915,129.378,20.42454043
NA,10.3,49.5,19,4,Predated,No,0.871,365.909,27.21555505
NA,10.5,50.5,19.3,4,Fledged,No,0.827,316.699,24.14554113
NA,11.3,52,18.6,4,Fledged,Yes,0.808,337.54,36.53724035
NA,8.5,47.5,18.9,NA,Fledged,No,0.691,177.704,21.27144067
NA,10.1,51,19.1,4,Predated,No,0.739,371.125,23.46108213
NA,11,47.5,19.9,4,Predated,No,0.94,216.757,24.21370856
NA,10.5,51,18.7,4,Fledged,Yes,0.846,309.689,25.25369876
yes,10.9,48.5,19.2,4,Predated,No,0.838,69.014,20.07045172
NA,11.8,48.5,19,4,Predated,No,0.639973,266.841,37.986178
NA,9.2,50.5,19.6,NA,NA,NA,0.739731,281.4,52.7688
NA,10.6,51,19.6,4,Fledged,No,0.807045,273.225,30.658836
NA,10.4,52,18.7,5,Predated,No,0.817416,525.835,30.730205
NA,9.2,52,18.7,NA,NA,NA,0.69314,415.772,51.28514
NA,10.9,50.5,18,4,Fledged,No,0.512472,62.338,16.086465
NA,11.5,51.5,19,4,Predated,No,0.677218,364.283,27.337007
NA,13.4,53,19.2,NA,NA,NA,0.653542,432.718,44.06846
NA,9.8,52,19.5,5,Predated,No,0.681199,327.173,35.412069
NA,11,48.5,18.8,4,Predated,No,0.810287,334.142,34.882467
NA,11.6,52,20.7,5,Predated,No,0.81453,446.735,44.370636
NA,10.8,50.5,19.4,4,Fledged,No,0.612847,50.403,31.591149
NA,10.9,51.5,19.2,4,Fledged,Yes,0.719086,363.986,39.40443
NA,11.4,52.5,19.3,2,Predated,No,0.824095,412.428,49.08601
